"ID","doi","smiles","DoU","NAts","NAtsBin","HOMO_indo","LUMO_indo","HOMO_pm7","LUMO_pm7","HOMO_qm_321","LUMO_qm_321","HOMO_qm_631","LUMO_qm_631"
"ABAGES","","O=C(Nc1ccccc1)C(C(=O)Nc1ccccc1)=C1NCCO1",12.0,41.0,"(40, 50]",-10.1033151552145,3.563058758447,-8.413216029759,-0.2206843327555,-5.290709595271499,-0.446810942521,-5.3081248817035,-0.537696968588
"ACEDAC10","10.1039/p29720001769","OC(=O)C#CC(O)=O",4.0,10.0,"(0, 10]",-12.639144128024002,2.435963189676,-11.36891667389,-1.2264171242035,-7.5160566646605025,-2.0634393283415,-7.6483039960034995,-2.2043943029005
"ACETYL11","10.1107/S0108768192004774","C#C",2.0,4.0,"(0, 10]",-16.990244597519002,6.358756458484,-11.6309623119215,1.688738556203,-7.938649474487,1.6438397708705,-7.714155547824499,1.5513210617005
"ACRLAC01","","OC(=O)C=C",2.0,9.0,"(0, 10]",-12.317505556733,2.5722922287765,-10.462233324024,-0.7866811417955001,-6.559032252452,-1.535810572222,-6.789784797676001,-1.687650100801
"ACRLAC07","10.1021/jp502095n","OC(=O)C=C",2.0,9.0,"(0, 10]",-12.753431945234,2.8786924244395,-11.034760865476,-0.574704452256,-7.1674788221700005,-1.4762176389625,-7.353060468211001,-1.6411186323655
"ADIDAU","10.1021/jo202235f","CC1(C)C2CC3N(Cc4ccc(cc4)C#N)C4CC(N2Cc2ccc(cc2)C#N)C1(CN1CCOCC1)C3(CN1CCOCC1)C4(C)C",18.0,100.0,"(90, 100]",-10.385497218183,3.143459200976,-8.2083143003325,-0.5352479439335001,-4.933968337266,-1.07212857097,-5.225402271151499,-1.2013826499575
"ADISOY","10.1021/jacs.6b09873","COC(=O)C1C([BH-]1C1=[N+](C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C)C(=O)OC",13.0,85.0,"(80, 90]","","","","","","","",""
"ADUPAT","10.1021/acs.cgd.7b01099","CCCCCC(F)C1(NS(=O)(=O)OCCC1O[Si](C)(C)C(C)(C)C)C=C",2.0,62.0,"(60, 70]","","",-9.712831779747,0.4536137887834999,-6.5658350987145,-0.019592197236,-6.830329761400501,-0.137145380652
"AFUDEL10","10.1021/ja200391j","CCN1C2=C([Se][Se][N]2)C(=C2[Se][Se]N=C12)Cl",6.5,20.0,"(10, 20]","","",-6.589781117558499,-1.959763951301,-3.757892275405,-2.154597468259,-3.907010665479,-2.3290224464295
"AGAVAG","10.1016/j.jfluchem.2008.04.010","CC(=O)OC1CCC2(C)C(CCC3C4CCC(=O)C4(C)C(F)CC23)C1",6.0,56.0,"(50, 60]",-11.2815681278795,4.2087849256835,-9.918549850725,0.7360679656025001,-6.1908622127255,-0.268304256593,-6.3405248305005015,-0.4525253333815
"AJANEG","10.1039/C5RA11629E","CCc1ccc(cc1)C(=O)C1=C(SC)SC(=O)C1=O",9.0,31.0,"(30, 40]","","",-9.2069721316675,-1.8544558911575,-6.609101200944001,-2.925223892875,-6.581889815894001,-3.032436749972
"AJAWAL","10.1002/chem.201502450","COc1cc2C(=O)C3(Oc4cc(OC(=O)c5ccccc5)cc(OC(=O)c5ccccc5)c4C3c2cc1OC(=O)c1ccccc1)C(C)=O",27.0,75.0,"(70, 80]",-10.3732520949105,2.4756918118490003,-9.1430253768,-0.915390993082,-6.0586148813825,-1.8000331210575,-6.0635129306915,-1.8473809310445
"AKUMEA","10.1021/acs.orglett.6b00559","OC(CCc1ccccc1)C1C(=C)Oc2ccccc12",10.0,38.0,"(30, 40]",-10.7400615653845,4.1799408575305,-9.119623585657,-0.024490246545,-5.7211937067625,-0.165445221104,-5.712213949695999,-0.2212285604565
